私は彼の判断には<u>完全な</u>信頼を置いている。	I have ( ) faith in his judgment.	stressful	ashamed	optimistic	absolute	4
彼らはその事件について<u>徹底的に</u>捜査した。	They made a ( ) investigation into the affair.	thorough	cooked	definite	rude	1
私たちはこの問題を<u>集中</u>的に扱うつもりです。	We will focus our ( ) on this problem.	harmony	bull	concentration	mechanism	3
きれいな水は健康的な生活に欠かせない<u>要素</u>である。	Clean water is an essential ( ) of healthy living.	listener	component	devotion	piece	2
私は<u>だまさ</u>れてそれを買ってしまった。	I was ( ) into buying it.	folded	deceived	injured	saved	2
これらの本の古本市場での<u>価値</u>はどのくらいになるのでしょうか。	What would the ( ) of these books be on the second-hand market?	fortune	value	commission	bath	2
次の<u>号</u>は4月15日に出ます。	The next ( ) will come out on April 15.	wave	package	issue	border	3
<u>退屈</u>で死にそうだ。	I'm ( ) to death.	bowed	bored	needed	assured	2
この辺りでは日本食の<u>材料</u>を手に入れるのが困難だ。	The ( ) for Japanese dishes are difficullt to obtain around here.	cities	conditions	legends	ingredients	4
彼は土地を息子たちに<u>分けた</u>。	He ( ) the land among his sons.	specialized	consumed	distributed	accepted	3
あなたの足はひどく折れているので<u>手術</u>が必要でしょう。	Your leg is badly broken and you may need ( ).	minute	surgery	manner	fool	2
ほとんどの水は大地の<u>表面</u>から消えていく。	Most of water disappears from the ( ) of the land.	economy	admission	grade	surface	4
彼は<u>個人の</u>行動は社会を変えることが出来ると考えた。	He thought that an ( ) 's action can change society.	identity	assistant	organization	individual	4
今日のスピーチコンテストでは<u>すばらしい</u>発表がいくつかあった。	There were some ( ) performancesat today's speech contest.	tremendous	eager	own	lazy	1
彼は祖父に<u>似ている</u>。	He ( ) his grandfather.	enterains	resembles	dedicates	relaxes	2
事故はいつ<u>起こった</u>の？	When did the accident ( )?	please	prepare	ask	occur	4
スマホ中毒は現代的な<u>現象</u>です。	Smartphone addiciton is a modem ( ).	praise	phenomenon	alarm	entertainement	2
この問題について争わないという<u>取引</u>をしましょう。	Let's make a ( ) not to fight over this issue.	deal 	trouble	conver	bound	1
過去40年にわたるテレビゲームの<u>進化</u>は驚くべきものだ。	The ( ) of video over the past forty years has been remarkable.	heart	evolution	variation	site	2
私の母はひどい頭痛に<u>苦しんでいる</u>。	My mother ( ) from bad headaches.	suffers	wastes	solves	reduces	1
この試合に負けることを考えるのには<u>耐え</u>られない。	I can't ( ) the thought of losing this game.	insult	bear	stick	shake	2
<u>予想</u>以上の数の客がパーティーに来た。	More guests than I ( ) came to the party.	departed	yelled	anticipated	discouraged	3
カイロの<u>欠陥</u>が電気的な故障を引き起こした。	A ( ) in the circuits caused an electrical failure.	attracition	generation	fault	resistance	3
地震がいつ来るか<u>を予想する</u>のは難しい。	It's difficult to ( ) when an earthquake will strike.	admire	travel	predict	reverse	3
彼の計画には<u>賛成する</u>ことはできない。	I can't（ ）of his plan.	excuse	approve	arise	wish	2
シマウマは馬と<u>関係がある</u>。	Zebras are ( ) to his plan.	equipped	related	abandoned	laid	2
彼がその部屋に入るの<u>に気づいた</u>。	I ( ) him entering the room.	possessed	conducted	observed	bathed	3
私はどうすれば人々が人種差別に<u>無関心</u>になれるのかわからない。	I don't know how peple can be ( ) to racism.	curious	prior	firm	indifferent	4
私は青か白のシャツを着る<u>傾向がある</u>。	I ( ) to wear blue or white shirts.	tend	feed	allow 	recall	1
私はけがをした子供たちに大いに<u>同情</u>をしている。	I have a lot of ( ) for the children who were injured.	sympathy	explanation	absence	consensus	1
私は手伝うことが出来なかったことに<u>絶望</u>している。	I felt ( ) at not being able to help.	coutinent	despair	community	chemical	2
彼女は100歳まで生き<u>そうだ</u>。	She is ( ) to live to a hundred.	mutual 	influential	pretty	likely	4
宿題を1週間以内に提出するよう<u>注意しなさい</u>。	( ) that your homeworks must be handed in within a week.	Feed	Note	Recall	Supply	2
私はスクリーンの明るさを<u>調整した</u>。	I ( ) the screen bringhtness.	fascinated	protected	investigated	adjusted	4
今日の気温は40<u>度</u>を超えると予想されています！	Today's temperature is predicted to be over forty ( )!	degrees	responses	collections	flood	1
これは体温を読み取る<u>装置</u>です。	This is a ( ) that reads body temperature.	tendency	discipline	cancer	 device	4
どのようにその事故が起きたか私に<u>詳細</u>に教えてください。	Tell me in ( ) how the accident happened.	detail	patient	prevention	ceiling	1
アンは仕事が終わると<u>すぐに</u>家路についた。	Ann left for home ( ) after work.	immediately	usullay	so	apparently	1
私には当たらしいコンピューターを買う<u>余裕はない</u>。	I can't ( ) to buy a new computer.	inspire	afford	engage	terrify	2
彼は飲酒運転で<u>逮捕された</u>。	He was ( ) for drunken drivng.	believed	inhabited	arrested	pretended	3
彼女は多くの会員にデータ<u>を提供した</u>。	She ( ) data for many of the members.	amused	lived	employed	provided	4
この<u>記事</u>はアメリカの経済成長を論じている。	This ( ) deals the economic growth of America.	detail	breath	smoke	article	4
近年，森の木の数は<u>減少して</u>いる。	The number of trees in the forest has ( ) in recent years.	worried	associated	declined	excited	3
彼は私たちの提案を<u>断った</u>。	He ( ) our proposal.	approached	rejected	reduced	filled	2
短期間でその言語<u>を習得する</u>のは容易なことではない。	It is not easy to ( ) the language in a short time.	ignore	acquire	speak	rise	2
リクは宿題をするの<u>を怠る</u>事は消してない。	Riku never ( ) to do his homeworks.	occupies	imposes	fails	uses	3
リクとジムと一緒に行くのは<u>気が進まなかった</u>。	Riku was ( ) to go with Jim.	sick	excessive	reluctant	political	3
新政府は税金<u>を上げ</u>たがっている。	The new govermment wants to ( ) taxes.	receive	rise	raise	rose	3
私たちが家を失った人々を助けることは<u>必要不可欠だ</u>。	It is ( ) that we help the people who lost their homes.	innovative	continental	cultural	crucial	4
アンが疲れてきたのが<u>明らかに</u>なった。	It became ( ) that Ann was becoming tired.	frequent	obvious	rapid	digital	2
この薬を飲めばきっと痛み<u>が取れます</u>よ。	I'm sure this medicine will ( ) your pain.	remove	pour	rent	interset	1
私の叔父は大きな家<u>を所有している</u>。	My uncle ( ) a large house.	possensses	destroys	tastes	pursues	1
彼女はとうとう自分の目的を<u>果たした</u>。	She finally ( ) her goal.	fired	fit	accompolished	fed	3
日本では，印鑑を使って文章に署名するのが<u>伝統的</u>だ。	In Japan, it is ( ) to sign a document with a seal.	prbable	considerable	fast	conventional	4
あなたが間違いをしたと<u>ほのめかす</u>つもりはなかった。	I did not mean to ( ) that you made a mistake.	recover	terrify	refer	imply	4
<u>税を除く</u>と99ドルになります。	That comes to $99, ( ) tax.	excluding	following	transmitting	decreasing	1
けんかに他人<u>を巻き込む</u>な。	You must not ( ) other people in your quarrel.	refer	involve	express	lead	2
彼らは静か<u>にしていた</u>。	They ( ) quiet.	bit	remainded	mixed	arrested	2
<u>前の</u>年の収入の増加は７％でした。	The increase in income for the ( ) year was 7 percent.	previous	excellent	long	pure	1
ジムはけがのせいでトーナメントに<u>参加する</u>ことが出来なかった。	Jim wasn't able to ( ) in the tourmament due to injury.	anticipate	fix	account	participate	4
私は日曜日には買い物に行くの<u>を避ける</u>ようにしている。	I try to ( ) going shopping on Sundays.	marry	live	avoid	cope	3
冬にはより多くの電気の<u>需要</u>がある。	There is a higher ( ) for electricity in the winter.	bill	range	demand	register	3
ここは最新のシステムを使用している<u>進歩的な</u>会社だ。	This is a ( ) company that uses the most modem systems.	dependent	progressive	scarce	horizontal	2
その本で彼女の名声は<u>高まった</u>。	The books has ( ) her fame.	caused	enhanced	tried	overwhelmed	2
彼は新たな事業に<u>成功した</u>。	He ( ) in a new business.	success	successful	succeeded	sacrificed	3
彼は雪の為外出<u>できなかった</u>。	The snow ( ) him from going out.	required	prevented	perceived	daalt	2
<u>お邪魔して</u>すみませんが，入ってもよろしいでしょうか。	I'm sorry to ( ) you,but may I come in?	ignore	cheer	disturb	describe	3
先生はクラスを男子と女子<u>に分けた</u>。	The teacher ( ) the class into boys and girls.	rescued	puzzied	bounded	divided	4
彼らの争い<u>を解決する</u>のに数年かかった。	It took several years to ( ) their dispute.	ask	resist	taste	settle	4
その男性は教育の<u>恩恵</u>を受けていなかった。	The man didn't have the ( ) of education.	ritual	benefit	scent	infancy	2
<u>栄養</u>と運動は健康に不可欠なものである。	( ) and exercise are essential to good health.	Appearance	Possibility	Activity	Nutrition	4
日本には温泉が非常に<u>豊富だ</u>。	Hot springs are extremely ( ) in Japan.	advanced	abundant	polite	successful	2
せきはしばしばかぜの<u>症状</u>です。	A cough is often a ( ) of a cold.	symptom	darkness	fate	youth	1
けがが<u>治る</u>のにどのくらいの時間がかかりますか。	How long will the injury take to ( )?	frustrate	assume	suffer	heal	4
日本は４つの主な島から<u>成る</u>。	Japan ( ) of four main islands.	interrupts	acquires	explores	consists	4
私のクラスの何人かがその病気に<u>感染した</u>。	Several people in my class became ( ) with the sickness.	astonished	persisted	infected	polluted	3
